"year","Month","Hours_watched","Avg_viewers","Peak_viewers","Streams","Avg_channels","Games_streamed","Viewer_ratio"
2016,1,480241904,646355,1275257,7701675,20076,12149,29.08
2016,2,441859897,635769,1308032,7038520,20427,12134,28.98
2016,3,490669308,660389,1591551,7390957,20271,12234,28.92
2016,4,377975447,525696,1775120,6869719,16791,12282,28.8
2016,5,449836631,605432,1438962,7535519,19394,12424,28.85
2016,6,446429345,620903,1755888,6663363,18818,12374,28.76
2016,7,446331825,600715,1453743,7336215,18030,12961,28.62
2016,8,382117373,514289,1334490,6837386,16592,13693,28.47
2016,9,362833210,504635,1186009,6623528,16880,13484,28.39
2016,10,453035001,609737,1549150,6771852,19250,13973,28.33
2016,11,449688428,625435,1410023,6084871,20715,13968,28.22
2016,12,490484523,660140,1385864,7848796,22291,14033,28.13
2017,1,601251200,809220,2284184,8672879,24081,14841,28.07
2017,2,500932308,746545,1524883,7166517,24219,14737,27.85
2017,3,516399977,695020,1500730,5970626,23094,14794,27.73
2017,4,535431301,744688,1823848,5507554,22078,15007,27.6
2017,5,506927522,682271,1514023,8019065,22362,15276,27.33
2017,6,510832330,710476,1935516,8053586,23412,15393,27.18
2017,7,566899230,762986,1802287,8802016,25810,15962,27.03
2017,8,533450366,717968,1824303,8358509,24711,15898,26.89
2017,9,527591318,733784,1519456,7844109,25038,15804,26.78
2017,10,585177534,787587,1835725,8479007,25723,15847,26.63
2017,11,575551503,800488,1532756,8526330,26768,16532,26.36
2017,12,573137507,771382,1496306,9288649,28181,16871,26.13
2018,1,720220030,969340,2315343,11222734,33580,18309,26.02
2018,2,615710441,917601,1735587,10729066,35548,18667,25.82
2018,3,721341613,970850,2399946,13495972,38981,19274,25.79
2018,4,729326135,1014361,2009005,13101238,39491,19132,25.8
2018,5,762177378,1025810,1714327,13869534,38746,19011,25.76
2018,6,789065029,1097447,2847241,13888432,39761,18833,25.62
2018,7,796242999,1071659,1974783,14910026,41629,19290,25.41
2018,8,855860641,1151898,3929074,15769306,44383,19233,25.34
